,predicate,object
2465,IN_COUNTRY,17018
2466,HAS_ROUTE,8673
2467,HAS_ROUTE,9900
2468,HAS_ROUTE,8681
2469,HAS_ROUTE,9621
2470,IN_COUNTRY,17155
2471,HAS_ROUTE,8842
2472,IN_COUNTRY,17020
2473,HAS_ROUTE,10426
2474,HAS_ROUTE,8958
2475,ON_CONTINENT,17250
2476,HAS_ROUTE,8693
2477,IN_COUNTRY,17043
2478,IN_CITY,13948
2479,HAS_ROUTE,10944
2480,HAS_ROUTE,9941
2481,HAS_ROUTE,8702
2482,HAS_ROUTE,8701
2483,HAS_ROUTE,8701
2484,HAS_ROUTE,8801
2485,HAS_ROUTE,8706
2486,HAS_ROUTE,8923
2487,ON_CONTINENT,17249
2488,HAS_ROUTE,11906
2489,IN_REGION,16556
2490,IN_REGION,16832
2491,HAS_ROUTE,11299
2492,HAS_ROUTE,8689
2493,IN_COUNTRY,17024
2494,IN_REGION,16452
2495,HAS_ROUTE,8648
2496,IN_COUNTRY,17053
2497,HAS_ROUTE,8644
2498,HAS_ROUTE,9461
2499,HAS_ROUTE,11049
2500,HAS_ROUTE,8678
2501,HAS_ROUTE,9410
2502,IN_REGION,15506
2503,ON_CONTINENT,17248
2504,HAS_ROUTE,8781
2505,HAS_ROUTE,8627
2506,HAS_ROUTE,8679
2507,IN_CITY,13086
2508,HAS_ROUTE,9340
2509,HAS_ROUTE,8711
2510,HAS_ROUTE,8801
2511,ON_CONTINENT,17250
2512,HAS_ROUTE,9296
2513,HAS_ROUTE,8757
2514,HAS_ROUTE,8787
2515,IN_COUNTRY,17093
2516,IN_REGION,16619
2517,HAS_ROUTE,8980
2518,HAS_ROUTE,8714
2519,HAS_ROUTE,9108
2520,HAS_ROUTE,10009
2521,HAS_ROUTE,9407
2522,HAS_ROUTE,8958
2523,HAS_ROUTE,8886
2524,IN_REGION,15620
2525,ON_CONTINENT,17249
2526,HAS_ROUTE,8732
2527,HAS_ROUTE,8888
2528,HAS_ROUTE,9193
2529,HAS_ROUTE,9129
2530,HAS_ROUTE,9432
2531,IN_CITY,13331
2532,HAS_ROUTE,9668
2533,IN_REGION,16394
2534,HAS_ROUTE,8693
2535,HAS_ROUTE,9480
2536,HAS_ROUTE,8919
2537,IN_REGION,15946
2538,ON_CONTINENT,17253
2539,IN_COUNTRY,17068
2540,HAS_ROUTE,8782
2541,HAS_ROUTE,8911
2542,HAS_ROUTE,8729
2543,HAS_ROUTE,9761
2544,HAS_ROUTE,10660
2545,HAS_ROUTE,8900
2546,HAS_ROUTE,8702
2547,IN_CITY,12284
2548,IN_COUNTRY,17031
2549,HAS_ROUTE,8733
2550,HAS_ROUTE,9300
2551,IN_COUNTRY,17022
2552,HAS_ROUTE,8787
2553,HAS_ROUTE,8630
2554,ON_CONTINENT,17253
2555,HAS_ROUTE,8772
2556,IN_COUNTRY,17057
2557,IN_REGION,15509
2558,HAS_ROUTE,8648
2559,ON_CONTINENT,17249
2560,HAS_ROUTE,8876
2561,HAS_ROUTE,8844
2562,HAS_ROUTE,10644
2563,HAS_ROUTE,8702
2564,HAS_ROUTE,8787
2565,HAS_ROUTE,10361
2566,ON_CONTINENT,17250
2567,IN_COUNTRY,17022
2568,IN_REGION,16778
2569,HAS_ROUTE,8705
2570,HAS_ROUTE,8663
2571,HAS_ROUTE,9865
2572,HAS_ROUTE,10055
2573,ON_CONTINENT,17251
2574,IN_CITY,14477
2575,HAS_ROUTE,8816
2576,IN_COUNTRY,17031
2577,ON_CONTINENT,17250
2578,ON_CONTINENT,17253
2579,HAS_ROUTE,10447
2580,ON_CONTINENT,17250
2581,HAS_ROUTE,8671
2582,HAS_ROUTE,11749
2583,HAS_ROUTE,8877
2584,HAS_ROUTE,9142
2585,HAS_ROUTE,8678
2586,IN_REGION,15491
2587,HAS_ROUTE,8634
